file,submitted_at_utc,public_score,rows,empty_rows,detections,mean_confidence,min_confidence,max_confidence,p50_confidence,p95_confidence
sub01_baseline_it20_lr1e4_thr020.csv,2026-04-30 20:54:57,260.1039,2000,790,1867,0.414726,0.200076,0.922776,0.381195,0.729675
sub02_baseline_it20_scale095_drop020.csv,2026-04-30 21:01:28,255.5143,2000,816,1800,0.401393,0.200083,0.876637,0.369369,0.694886
sub02_surgical_cls125_lr1e4_thr020_scale095.csv,,,2000,1532,536,0.314397,0.200213,0.753479,0.279512,0.535971
sub03_candidate_zaoui_public_prune015_ewc50.csv,,,2000,1053,1276,0.341455,0.200059,0.876111,0.311210,0.584375
sub03_post_scale093_drop020_from_sub01.csv,2026-05-01 04:53:06,254.1299,2000,828,1763,0.397031,0.200358,0.858182,0.365213,0.681526
sub04_candidate_zaoui_prune0125_real_ewc50.csv,,,2000,1018,1342,0.350877,0.200020,0.891654,0.318526,0.607583
sub04_post_scale090_drop020_from_sub01.csv,2026-05-01 04:55:05,253.5141,2000,852,1716,0.389360,0.200210,0.830498,0.358650,0.661037
sub05_candidate_zaoui_prune010_real_ewc50.csv,,,2000,927,1533,0.364723,0.200075,0.893878,0.334988,0.625859
sub05_post_scale088_drop020_from_sub01.csv,,,2000,864,1681,0.384520,0.200012,0.812043,0.356390,0.648199
sub05_zaoui_public_prune015_ewc50.csv,2026-05-02 16:23:25,247.4372,2000,1053,1276,0.341455,0.200059,0.876111,0.311210,0.584375
sub06_candidate_zaoui_prune0175_real_ewc50.csv,,,2000,1294,872,0.288427,0.200107,0.690999,0.265801,0.440259
sub06_zaoui_public_scale095_drop020.csv,2026-05-02 16:25:14,247.9043,2000,1090,1205,0.332019,0.200029,0.832305,0.304145,0.560907
sub07_zaoui_prune0125_real_ewc50.csv,,,2000,1018,1342,0.350877,0.200020,0.891654,0.318526,0.607583
sub07_zaoui_public_scale090_drop020.csv,,,2000,1140,1123,0.323352,0.200274,0.788500,0.296353,0.539066
sub08_candidate_zaoui_public_scale095_drop020.csv,,,2000,1090,1205,0.332019,0.200029,0.832305,0.304145,0.560907
sub08_zaoui_prune010_real_ewc50.csv,,,2000,927,1533,0.364723,0.200075,0.893878,0.334988,0.625859
sub08_zaoui_prune0125_real_ewc50.csv,2026-05-03 22:13:01,248.3809,2000,1018,1342,0.350877,0.200020,0.891654,0.318526,0.607583
sub09_candidate_zaoui_public_scale090_drop020.csv,,,2000,1140,1123,0.323352,0.200274,0.788500,0.296353,0.539066
sub09_zaoui_public_drop025.csv,,,2000,1239,960,0.380310,0.250115,0.876111,0.351239,0.609957
sub09_zaoui_public_scale102_keep020.csv,2026-05-03 22:14:32,247.2900,2000,1053,1276,0.348284,0.204060,0.893633,0.317434,0.596063
sub10_candidate_zaoui_public_scale100_drop025.csv,,,2000,1239,960,0.380310,0.250115,0.876111,0.351239,0.609957
sub10_zaoui_prune010_real_ewc50.csv,,,2000,927,1533,0.364723,0.200075,0.893878,0.334988,0.625859
sub10_zaoui_prune0175_real_ewc50.csv,,,2000,1294,872,0.288427,0.200107,0.690999,0.265801,0.440259
sub10_zaoui_public_scale103_drop020.csv,2026-05-05 07:53:30,247.2298,2000,1053,1276,0.351699,0.206061,0.902394,0.320546,0.601906
sub10_zaoui_public_scale105_keep020.csv,,,2000,1053,1276,0.358528,0.210062,0.919917,0.326771,0.613594
sub11_candidate_zaoui_public_scale095_drop025.csv,,,2000,1288,883,0.371557,0.250163,0.832305,0.340751,0.590048
sub11_zaoui_prune0175_real_ewc50.csv,,,2000,1294,872,0.288427,0.200107,0.690999,0.265801,0.440259
sub11_zaoui_public_scale103_drop020.csv,,,2000,1053,1276,0.351699,0.206061,0.902394,0.320546,0.601906
sub11_zaoui_public_scale105_keep020.csv,2026-05-05 07:55:30,247.1309,2000,1053,1276,0.358528,0.210062,0.919917,0.326771,0.613594
sub12_zaoui_public_scale106_keep020.csv,2026-05-06 04:27:40,247.0871,2000,1053,1276,0.361943,0.212062,0.928677,0.329883,0.619437
sub13_zaoui_public_scale107_keep020.csv,2026-05-06 04:29:30,247.0467,2000,1053,1276,0.365357,0.214063,0.937439,0.332995,0.625282
sub14_zaoui_public_scale108_keep020.csv,2026-05-07 23:01:32,247.0065,2000,1053,1276,0.368772,0.216064,0.946200,0.336107,0.631125
sub15_zaoui_public_scale109_keep020.csv,2026-05-07 23:04:48,246.9702,2000,1053,1276,0.372186,0.218064,0.954961,0.339219,0.636969
sub16_zaoui_public_scale110_keep020.csv,2026-05-12 11:23:13,246.9381,2000,1053,1276,0.375601,0.220065,0.963722,0.342331,0.642813
sub17_zaoui_public_scale111_keep020.csv,2026-05-12 11:25:05,246.9080,2000,1053,1276,0.379015,0.222065,0.972483,0.345444,0.648656
sub18_zaoui_public_scale112_keep020.csv,2026-05-13 02:24:36,246.8837,2000,1053,1276,0.382430,0.224066,0.981244,0.348556,0.654500
sub19_zaoui_public_scale11225_keep020.csv,2026-05-13 02:26:33,246.8777,2000,1053,1276,0.383284,0.224566,0.983434,0.349334,0.655961
sub20_zaoui_public_scale1125_keep020.csv,2026-05-16 19:52:38,246.8721,2000,1053,1276,0.384137,0.225066,0.985625,0.350112,0.657422
sub21_zaoui_public_scale113_drop025.csv,2026-05-16 19:54:02,247.4740,2000,1136,1130,0.405023,0.250048,0.990005,0.371132,0.675253
sub22_zaoui_public_scale113_keep020.csv,2026-05-17 05:20:19,246.8615,2000,1053,1276,0.385845,0.226066,0.990005,0.351668,0.660343
sub23_zaoui_public_scale1135_keep020.csv,2026-05-18 05:22:02,246.8521,2000,1053,1276,0.387552,0.227067,0.994386,0.353224,0.663266
sub24_zaoui_public_scale114_keep020.csv,2026-05-18 05:52:21,246.8434,2000,1053,1276,0.389259,0.228067,0.998766,0.354780,0.666187
sub25_zaoui_public_scale1141_keep020.csv,2026-05-19 04:49:16,246.8416,2000,1053,1276,0.389601,0.228267,0.999642,0.355092,0.666772
sub26_zaoui_public_scale114125_keep020.csv,2026-05-19 04:53:11,246.8412,2000,1053,1276,0.389686,0.228317,0.999861,0.355169,0.666918
